GEOID,state_alpha,year,forecast_date,hls_ndvi_mean,hls_ndvi_std,hls_evi_mean,hls_evi_std,hls_n_granules
08001,CO,2013,08-01,0.3634800314903259,0.1942276209592819,0.2949375808238983,0.1918697655200958,5
08001,CO,2013,09-01,0.4395014345645904,0.1958701610565185,0.3014018833637237,0.1623838245868683,5
08001,CO,2013,10-01,0.4576157033443451,0.1750382632017135,0.2194802910089492,0.0992957130074501,5
08001,CO,2013,EOS,0.3259130418300628,0.1213009804487228,0.1619215309619903,0.0492470525205135,5
08001,CO,2014,08-01,0.4372920393943786,0.1594955772161483,0.2829758822917938,0.12387266010046,5
08001,CO,2014,09-01,0.2503957450389862,0.1232199072837829,0.148299753665924,0.0557672008872032,5
08001,CO,2014,10-01,0.2894467711448669,0.1253564357757568,0.1648167967796325,0.061573039740324,5
08001,CO,2014,EOS,0.3433344066143036,0.1023171916604042,0.208218976855278,0.0818646848201751,5
08001,CO,2015,09-01,0.4059706330299377,0.1587202847003936,0.2823908925056457,0.1450745910406112,5
08001,CO,2015,10-01,0.3542774617671966,0.1607072949409485,0.2327198535203933,0.1304577142000198,5
08001,CO,2015,EOS,0.2996869683265686,0.1302897185087204,0.1719850003719329,0.0660509914159774,5
08001,CO,2016,08-01,0.4697861671447754,0.1920423507690429,0.3422149121761322,0.1590102016925811,5
08001,CO,2016,09-01,0.3558386862277984,0.138705164194107,0.2284981608390808,0.1173559203743934,5
08001,CO,2016,10-01,0.3387594819068908,0.1321837604045868,0.202016681432724,0.1055151373147964,5
08001,CO,2016,EOS,0.263347178697586,0.1409062445163726,0.1455943286418914,0.0692111775279045,5
08001,CO,2017,08-01,0.4975951611995697,0.1836937367916107,0.2560433745384216,0.112048290669918,5
08001,CO,2017,09-01,0.4475966095924377,0.1839290112257003,0.2229977697134018,0.0942281782627105,5
08001,CO,2017,EOS,0.2690750658512115,0.0854781568050384,0.1548846960067749,0.0550991520285606,5
08001,CO,2018,08-01,0.3180157840251922,0.1080116033554077,0.1831472218036651,0.0735767781734466,5
08001,CO,2018,09-01,0.3227007389068603,0.1200116798281669,0.2260032445192337,0.0746492892503738,5
08001,CO,2018,10-01,0.3740192353725433,0.1540053188800811,0.2277048975229263,0.1176727190613746,5
08001,CO,2018,EOS,0.3293175101280212,0.1589534282684326,0.1566716283559799,0.0672685578465461,5
08001,CO,2019,08-01,0.4284201264381408,0.186119332909584,0.2911440730094909,0.1241149231791496,5
08001,CO,2019,09-01,0.4077529609203338,0.1913199722766876,0.2597483992576599,0.1421630531549453,5
