GEOID,state_alpha,nccpi3corn,nccpi3all,aws0_100,aws0_150,soc0_30,soc0_100,rootznemc,rootznaws,droughty,pctearthmc,pwsl1pomu
08001,CO,0.07923483310515894,0.26025800990988235,129.60552341581254,188.32781931101317,2622.1838579122546,4991.049253266368,139.83407402673546,199.84651008871091,0.22540749659982914,74.18343478880905,62.60178127606949
08003,CO,0.0011154630386139945,0.044582214690538725,86.02668313892764,116.01150283042489,1876.968565576182,3978.173033597715,126.72609794600673,109.86831948482833,0.858684291722169,80.5936316334638,45.02137838929893
08005,CO,0.09161435512661674,0.27722440405660453,119.42190027302937,164.4932177712898,2778.0130487130737,5236.275259444258,129.83464832316497,191.15643519383121,0.29748554074237316,77.25941155598863,34.47319279633292
08007,CO,0.09256778020110766,0.15553644520885213,106.77202721222498,131.02067893674183,6527.840579614496,8941.405946907362,95.7289042738826,135.98015444450687,0.5557676064523305,77.86726050881687,99.71661880704217
08009,CO,0.10954728381521758,0.29404255963643877,141.58931348189526,213.10691762458734,2370.4144166567085,4844.080759829957,141.84917653482944,226.27943877972766,0.10756789799637174,83.19664469157861,43.60897878222437
08011,CO,0.030118369242029347,0.18625957169267798,135.29991151555416,189.95252738824686,2267.783433961807,4801.4993234204585,119.63872393982079,186.89754017814093,0.3808395305066504,83.96674411992755,278.2598662363445
08013,CO,0.05206949294338685,0.12740000634550627,71.67089157800764,94.49226326719982,4166.831907581471,5850.670939874796,98.81639046456623,103.51317953495492,0.706616168362609,71.89222985571837,171.05918753017448
08014,CO,0.08743262139452353,0.2744586595515601,127.45643975523102,177.7561473578369,2657.1737527919067,5194.549008521181,122.63648921537758,195.20489835632458,0.2557048060283092,81.57188235497217,133.1192722010826
08015,CO,0.004701968155187575,0.03199112622089999,48.147607074871324,61.61363724510435,3254.2323994522435,4177.370982650007,117.1213610390926,68.50879764582272,0.9785993929498464,65.04262439926026,44.701361332426586
08017,CO,0.12933333362992694,0.3331796456371068,139.8669781700496,206.79117910058906,2220.356035351591,4757.7104094355645,145.76575222274622,227.2750930181355,0.19438769601180186,80.65646006465506,12.237070986290032
08019,CO,0.003911886929886503,0.011858953287163021,41.10989706713961,50.09032502353587,3959.35795241478,5135.2726048325185,87.95545086067408,53.33904829728079,0.9652636135413734,69.25400539831358,48.84737661223301
08021,CO,0.0033088973803086547,0.04772411033789116,72.88628643608786,96.89271211521215,3968.1648715134806,6012.348347236942,110.26381729309354,104.46746039402798,0.7493272017533007,82.01880789007008,56.26963463389836
