MapDate,StateAbbreviation,StatisticFormatID,ValidStart,ValidEnd,D0,D1,D2,D3,D4,None,Missing
20260203,NE,1,2026-02-03,2026-02-09,81.14,52.39,12.42,0.00,0.00,18.86
20260203,WI,1,2026-02-03,2026-02-09,63.30,28.02,3.15,0.00,0.00,36.70
20260127,CO,1,2026-01-27,2026-02-02,69.94,52.36,22.73,5.67,0.83,30.06
20260127,IA,1,2026-01-27,2026-02-02,44.11,0.90,0.00,0.00,0.00,55.89
20260127,MO,1,2026-01-27,2026-02-02,89.15,52.88,24.95,0.86,0.00,10.85
20260127,NE,1,2026-01-27,2026-02-02,81.06,52.24,12.23,0.00,0.00,18.94
20260127,WI,1,2026-01-27,2026-02-02,63.30,28.02,3.15,0.00,0.00,36.70
20260120,CO,1,2026-01-20,2026-01-26,69.86,51.47,15.76,5.67,0.83,30.14
20260120,IA,1,2026-01-20,2026-01-26,44.20,0.90,0.00,0.00,0.00,55.80
20260120,MO,1,2026-01-20,2026-01-26,89.19,53.73,24.95,0.86,0.00,10.81
20260120,NE,1,2026-01-20,2026-01-26,79.24,48.59,12.23,0.00,0.00,20.76
20260120,WI,1,2026-01-20,2026-01-26,63.35,28.02,3.15,0.00,0.00,36.65
20260113,CO,1,2026-01-13,2026-01-19,70.40,47.38,15.18,4.54,0.83,29.60
20260113,IA,1,2026-01-13,2026-01-19,44.80,0.90,0.00,0.00,0.00,55.20
20260113,MO,1,2026-01-13,2026-01-19,89.19,51.16,20.48,0.00,0.00,10.81
20260113,NE,1,2026-01-13,2026-01-19,77.43,42.97,10.91,0.00,0.00,22.57
20260113,WI,1,2026-01-13,2026-01-19,67.23,30.43,3.72,0.00,0.00,32.77
20260106,CO,1,2026-01-06,2026-01-12,74.04,46.22,15.77,4.35,0.67,25.96
20260106,IA,1,2026-01-06,2026-01-12,59.62,6.13,0.00,0.00,0.00,40.38
20260106,MO,1,2026-01-06,2026-01-12,95.28,57.54,11.61,0.00,0.00,4.72
20260106,NE,1,2026-01-06,2026-01-12,97.62,42.11,10.91,0.00,0.00,2.38
20260106,WI,1,2026-01-06,2026-01-12,97.24,53.46,12.62,0.00,0.00,2.76
20251230,CO,1,2025-12-30,2026-01-05,70.64,37.59,15.21,2.69,0.53,29.36
20251230,IA,1,2025-12-30,2026-01-05,49.58,17.32,0.00,0.00,0.00,50.42
20251230,MO,1,2025-12-30,2026-01-05,94.30,44.10,5.89,0.00,0.00,5.70
20251230,NE,1,2025-12-30,2026-01-05,91.30,39.64,1.57,0.00,0.00,8.70
20251230,WI,1,2025-12-30,2026-01-05,97.55,56.19,12.63,0.00,0.00,2.45
20251223,CO,1,2025-12-23,2025-12-29,62.64,36.43,15.21,1.70,0.53,37.36
20251223,IA,1,2025-12-23,2025-12-29,49.00,17.42,0.00,0.00,0.00,51.00
20251223,MO,1,2025-12-23,2025-12-29,88.28,34.91,5.31,0.00,0.00,11.72
20251223,NE,1,2025-12-23,2025-12-29,82.10,32.09,1.57,0.00,0.00,17.90
20251223,WI,1,2025-12-23,2025-12-29,97.55,56.47,12.63,0.00,0.00,2.45
20251216,CO,1,2025-12-16,2025-12-22,56.57,36.43,14.70,1.37,0.00,43.43
20251216,IA,1,2025-12-16,2025-12-22,59.91,20.54,0.00,0.00,0.00,40.09
20251216,MO,1,2025-12-16,2025-12-22,84.71,32.30,5.31,0.00,0.00,15.29
20251216,NE,1,2025-12-16,2025-12-22,65.66,24.27,0.22,0.00,0.00,34.34
20251216,WI,1,2025-12-16,2025-12-22,97.55,56.47,12.63,0.00,0.00,2.45
20251209,CO,1,2025-12-09,2025-12-15,56.57,36.43,14.70,1.37,0.00,43.43
